Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
27929.46	27929460	27930.54	27930540	1.08	1080															
27938.33	27938330	27939.13	27939130	0.8	800															
27942.86	27942860	27943.66	27943660	0.8	800															
27958.83	27958830	27959.43	27959430	0.6	600															
27976.15	27976150	27977.05	27977050	0.9	900															
28016.5	28016500	28017.1	28017100	0.6	600															
28046.72	28046720	28047.33	28047330	0.61	610															
28063.65	28063650	28064.25	28064250	0.6	600															
28147.12	28147120	28148.07	28148070	0.95	950															
28163.93	28163930	28165.32	28165320	1.39	1390															
28177.55	28177550	28178.15	28178150	0.6	600															
28206.64	28206640	28207.24	28207240	0.6	600															
28308.71	28308710	28309.32	28309320	0.61	610															
28495.45	28495450	28496.28	28496280	0.83	830															
28637.3	28637300	28638.39	28638390	1.09	1090															
28646.02	28646020	28647.19	28647190	1.17	1170															
28656.62	28656620	28657.74	28657740	1.12	1120															
28679.78	28679780	28680.38	28680380	0.6	600															
28693.27	28693270	28694.13	28694130	0.86	860															
28699.77	28699770	28700.38	28700380	0.61	610															
28722.12	28722120	28723.38	28723380	1.26	1260															
28726.11	28726110	28726.91	28726910	0.8	800															
28733.73	28733730	28734.37	28734370	0.64	640															
28745.14	28745140	28745.74	28745740	0.6	600															
28754.32	28754320	28754.92	28754920	0.6	600															
28759.36	28759360	28760.36	28760360	1.0	1000															
28760.36	28760360	28761.16	28761160	0.8	800															
28761.96	28761960	28764.42	28764420	2.46	2460															
28775.39	28775390	28775.99	28775990	0.6	600															
28782.54	28782540	28783.14	28783140	0.6	600															
28792.6	28792600	28793.63	28793630	1.03	1030															
28795.06	28795060	28795.94	28795940	0.88	880															
28795.94	28795940	28797.05	28797050	1.11	1110															
28999.1	28999100	28999.7	28999700	0.6	600															
29066.2	29066200	29066.8	29066800	0.6	600															
29156.58	29156580	29157.18	29157180	0.6	600															
30218.39	30218390	30219.05	30219050	0.66	660															
30229.63	30229630	30230.48	30230480	0.85	850															
30246.62	30246620	30248.03	30248030	1.41	1410															
30248.83	30248830	30249.63	30249630	0.8	800															
33451.99	33451990	33452.59	33452590	0.6	600															
34420.74	34420740	34421.34	34421340	0.6	600															
34721.72	34721720	34723.3	34723300	1.58	1580															
34909.78	34909780	34910.48	34910480	0.7	700															
39185.65	39185650	39186.25	39186250	0.6	600															
39566.99	39566990	39567.62	39567620	0.63	630															
39777.37	39777370	39778.14	39778140	0.77	770															
39854.31	39854310	39854.91	39854910	0.6	600															
41965.04	41965040	41965.84	41965840	0.8	800															
42636.2	42636200	42637.0	42637000	0.8	800															
42965.32	42965320	42965.99	42965990	0.67	670															
43015.67	43015670	43016.53	43016530	0.86	860															
43031.15	43031150	43031.89	43031890	0.74	740															
43037.63	43037630	43038.43	43038430	0.8	800															
43050.25	43050250	43051.11	43051110	0.86	860															
43051.11	43051110	43052.14	43052140	1.03	1030															
43063.63	43063630	43064.23	43064230	0.6	600															
43067.96	43067960	43068.56	43068560	0.6	600															
43071.64	43071640	43072.64	43072640	1.0	1000															
